annoc,time
إعلان من السوق المالية السعودية (تداول) بشأن الموافقة على انتقال أسهم شركة باعظيم التجارية إلى السوق الرئيسية,1441/04/01    28/11/2019 08:40:06 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـصكوك الحكومة السعودية بالريال ,1441/04/01    28/11/2019 08:13:59 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1441/03/30    27/11/2019 16:09:52 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1441/03/30    27/11/2019 15:56:59 
هيئة السوق المالية تفتح باب التقدم للحصول على تصريح تجربة التقنية المالية للدفعة الثالثة,1441/03/28    25/11/2019 15:45:35 
إعلان من السوق المالية السعودية (تداول) بشأن انتقال وإدراج أسهم  شركة ريدان الغذائية في السوق الرئيسية,1441/03/22    19/11/2019 15:37:20 
إعلان من السوق المالية السعودية (تداول) بشأن الموافقة على انتقال أسهم شركة ريدان الغذائية إلى السوق الرئيسية,1441/03/20    17/11/2019 15:46:29 
موافقة الهيئة على طلب شركة الأحساء للتنمية زيادة رأس مالها لغرض الاستحواذ على جميع أسهم شركة السلام للخدمات الطبية,1441/03/16    13/11/2019 15:53:13 
فرض غرامة مالية على الشركة الوطنية للتسويق الزراعي (ثمار)، لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/03/16    13/11/2019 15:46:38 
إعلان من السوق المالية السعودية (تداول) بشأن تعليق تداول سهم  الشركة الوطنية للتسويق الزراعي,1441/03/15    12/11/2019 09:13:08 
إعلان من السوق المالية السعودية (تداول) بشأن تعليق تداول سهم شركة اللجين,1441/03/15    12/11/2019 09:04:37 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1441/03/14    11/11/2019 15:47:42 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لشركة التعدين العربية السعودية,1441/03/13    10/11/2019 16:02:00 
نشرة إصدار شركة الزيت العربية السعودية (أرامكو السعودية),1441/03/13    10/11/2019 00:21:10 
إعلان من السوق المالية السعودية (تداول) بشأن انتقال وإدراج أسهم  شركة عبد الله سعد محمد أبو معطي للمكتبات في السوق الرئيسية,1441/03/10    07/11/2019 15:43:06 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية للشركة السعودية لصناعة الورق,1441/03/10    07/11/2019 08:06:27 
تداول تنشر مسودات قواعد المؤشر ومنهجيته لاستطلاع ‏آراء المهتمين والمعنيين بالسوق,1441/03/09    06/11/2019 16:14:23 
إعلان من السوق المالية السعودية (تداول) بشأن انتقال وإدراج أسهم  شركة ثوب الأصيل في السوق الرئيسية,1441/03/09    06/11/2019 15:44:28 
"انضمام شركة سيتي جروب العربية السعودية لعضوية مركز إيداع الأوراق المالية ""إيداع"" في فئة الحفظ",1441/03/08    05/11/2019 15:44:49 
انضمام شركة سيتي جروب العربية السعودية لمؤسسات الوساطة العاملة في السوق,1441/03/08    05/11/2019 15:39:17 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة السعودية لصناعة الورق على اساس سعر 23.52 ريال,1441/03/08    05/11/2019 08:36:20 
إعلان من السوق المالية السعودية (تداول) بشأن الموافقة على انتقال أسهم شركة عبد الله سعد محمد أبو معطي للمكتبات إلى السوق الرئيسية,1441/03/07    04/11/2019 15:43:09 
إعلان من السوق المالية السعودية (تداول) بشأن الموافقة على انتقال أسهم شركة ثوب الأصيل إلى السوق الرئيسية,1441/03/07    04/11/2019 15:33:07 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1441/03/06    03/11/2019 16:12:50 
موافقة هيئة السوق المالية على طلب شركة الزيت العربية السعودية (أرامكو السعودية) تسجيل وطرح أسهمها للاكتتاب العام,1441/03/06    03/11/2019 08:15:26 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالفين لنظام السوق المالية ولوائحه التنفيذية,1441/03/03    31/10/2019 18:50:25 
ترخيص هيئة السوق المالية لشركة سيكو السعودية المالية لتقديم خدمات أعمال الأوراق المالية,1441/03/03    31/10/2019 08:35:03 
فرض غرامة مالية على شركة الكابلات السعودية لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/03/02    30/10/2019 16:50:02 
إعلان من السوق المالية السعودية (تداول) بشأن انتقال وإدراج أسهم شركة الكثيري القابضة في السوق الرئيسية,1441/03/02    30/10/2019 15:39:39 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق إنسان الاستثماري الوقفي"" طرحاً عاماً",1441/03/01    29/10/2019 16:00:04 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـصكوك الحكومة السعودية بالريال ,1441/03/01    29/10/2019 08:06:49 
إعلان من السوق المالية السعودية (تداول) بشأن الموافقة على انتقال أسهم شركة الكثيري القابضة إلى السوق الرئيسية,1441/02/29    28/10/2019 15:31:57 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم الشركة الوطنية للبناء والتسويق,1441/02/29    28/10/2019 08:25:41 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـصكوك الحكومة السعودية بالريال ,1441/02/25    24/10/2019 08:20:45 
إعلان بشأن إدراج وتداول أدوات الدين الحكومية في السوق المالية السعودية,1441/02/24    23/10/2019 16:19:08 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1441/02/24    23/10/2019 15:48:57 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1441/02/23    22/10/2019 15:55:38 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق جي آي بي لفرص أسهم الشرق الأوسط وشمال أفريقيا"" طرحاً عاماً",1441/02/21    20/10/2019 15:39:53 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم شركة اللجين,1441/02/21    20/10/2019 08:49:04 
موافقة الهيئة على طلب الشركة السعودية لصناعة الورق تخفيض رأس مالها,1441/02/18    17/10/2019 16:03:18 
تسجيل هيئة السوق المالية لشركة أسامة عبدالله الخريجي وشريكه محاسبون قانونيون,1441/02/17    16/10/2019 16:15:50 
فرض غرامة مالية على   شركة عناية السعودية للتأمين التعاوني ، لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/02/15    14/10/2019 16:06:53 
فرض غرامة مالية على الشركة الوطنية للبناء والتسويق، لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/02/15    14/10/2019 15:55:53 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق المبارك للصكوك السيادية السعودية"" طرحاً عاماً",1441/02/15    14/10/2019 09:35:20 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الوطنية للبناء والتسويق,1441/02/15    14/10/2019 08:40:38 
علان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم الشركة الوطنية للتسويق الزراعي,1441/02/14    13/10/2019 08:38:38 
تغيير اسم شركة مجموعة رؤيا المالية,1441/02/11    10/10/2019 15:46:58 
تعديل قائمة أعمال فينشر كابيتال الاستثمارية السعودية,1441/02/09    08/10/2019 16:20:03 
فرض غرامة مالية على شركة ثوب الأصيل لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/02/08    07/10/2019 16:33:57 
فرض غرامة مالية على  شركة ولاء للتأمين التعاوني، لمخالفتها الفقرة (ج) من المادة الرابعة والستين من قواعد طرح الأوراق المالية والالتزامات المستمرة ,1441/02/08    07/10/2019 16:33:37 
فرض غرامة مالية على  شركة فواز عبدالعزيز الحكير وشركاه، لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/02/08    07/10/2019 16:33:24 
اعتماد إجراءات التعامل مع حسابات المركز في حال توقف عضو الحفظ أو اعتزامه التوقف عن ممارسة أعماله,1441/02/08    07/10/2019 15:30:41 
صدور قرار مجلس الهيئة باعتماد قواعد طرح الأوراق المالية والالتزامات المستمرة المعدلة والتعليمات الخاصة بإعلانات الشركات المعدلة وتعليمات بناء سجل الأوامر وتخصيص الأسهم في الاكتتابات الأولية المعدلة وقواعدها المعدلة والموافقة على قواعد الإدراج المعدلة,1441/02/07    06/10/2019 18:32:33 
اعتماد قواعد الإدراج المعدلة وقائمة المصطلحات المستخدمة في قواعد السوق المعدلة,1441/02/07    06/10/2019 16:46:45 
موافقة الهيئة على طلب شركة أكسا للتأمين التعاوني زيادة رأس مالها عن طريق منح أسهم مجانية,1441/02/04    03/10/2019 16:21:11 
"إعلان من هيئة السوق المالية بشأن الموافقة على زيادة إجمالي قيمة أصول صندوق الاستثمار العقاري المتداول ""صندوق الراجحي ريت"" عن طريق طرح وحدات إضافية",1441/02/03    02/10/2019 16:27:43 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1441/02/02    01/10/2019 16:31:13 
   هيئة السوق المالية توافق على طلب تصريح تجربة التقنية المالية المقدم من شركة بذور التكافل للتمويل لإنشاء منصة تمويل الملكية الجماعية,1441/02/02    01/10/2019 16:20:22 
هيئة السوق المالية توافق على طلب تصريح تجربة التقنية المالية المقدم من شركة إمكان العربية المحدودة لإنشاء منصة تمويل الملكية الجماعية ,1441/02/02    01/10/2019 16:15:47 
تقرير أداء السوق المالية السعودية – التسعة أشهر الأولى 2019 م,1441/02/02    01/10/2019 16:12:34 
هيئة السوق المالية توافق على طلب تصريح تجربة التقنية المالية المقدم من شركة آفاق المالية لإنشاء منصة تمويل الملكية الجماعية,1441/02/02    01/10/2019 16:09:57 
موافقة هيئة السوق المالية على طلب شركة مجموعة الدكتور سليمان الحبيب للخدمات الطبية تسجيل وطرح أسهمها للاكتتاب,1441/02/01    30/09/2019 16:47:19 
تسجيل هيئة السوق المالية  لشركة طلال أبو غزالة وشركاه محاسبون قانونيون,1441/02/01    30/09/2019 16:32:24 
موافقة الهيئة على طلب شركة التعدين العربية السعودية زيادة رأس مالها عن طريق تحويل الديون,1441/01/30    29/09/2019 09:20:43 
 السوق المالية السعودية ( تداول ) تعلن عن صيانة المؤشرات للربع الثالث 2019 م,1441/01/30    29/09/2019 08:03:26 
 السوق المالية السعودية (تداول) تعلن عن تحديث الأسهم الحرة (المتاحة للتداول) لجميع الشركات للربع الثالث 2019 م,1441/01/30    29/09/2019 07:57:39 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية للشركة الأهلية للتأمين التعاوني,1441/01/25    24/09/2019 08:35:52 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الوطنية للتسويق الزراعي,1441/01/23    22/09/2019 09:04:14 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم شركة  اللجين,1441/01/23    22/09/2019 08:59:38 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية للشركة المتقدمة للبتروكيماويات,1441/01/23    22/09/2019 08:54:36 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية للشركة الكيميائية السعودية القابضة,1441/01/23    22/09/2019 08:43:03 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـصكوك الحكومة السعودية بالريال ,1441/01/20    19/09/2019 08:51:15 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة الأهلية للتأمين التعاوني على اساس سعر 13.58 ريال,1441/01/20    19/09/2019 08:40:00 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1441/01/19    18/09/2019 16:19:08 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة المتقدمة للبتروكيماويات على اساس سعر 46.20 ريال,1441/01/19    18/09/2019 08:41:27 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم الشركة الكيميائية السعودية على اساس سعر 24.48 ريال,1441/01/19    18/09/2019 08:36:18 
فرض غرامة مالية على  الشركة الوطنية للتسويق الزراعي (ثمار)، لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة ونظام السوق المالية وتعميم صادر من مجلس الهيئة,1441/01/17    16/09/2019 15:49:30 
